Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
SKAP1	8631	SKAP55	NP_001068567.1	Adapter molecule	
AURKB	9212	Aurora kinase B	NP_004208.2	Serine/threonine kinase	
ORC3L	23595	ORC3	NP_036513.2	DNA binding protein	
ORC3L	23595	ORC3	NP_862820.1	DNA binding protein	
FCN3	8547	Ficolin 3	NP_003656.2	Adhesion molecule	
FCN3	8547	Ficolin 3	NP_775628.1	Adhesion molecule	
NUDT21	11051	Cleavage and polyadenylation specificity factor 5	NP_008937.1	RNA binding protein	
CPSF6	11052	Cleavage and polyadenylation specificity factor 6	AAH00714.1	RNA binding protein	
CPSF6	11052	Cleavage and polyadenylation specificity factor 6	NP_008938.2	RNA binding protein	
RACGAP1	29127	RAC GTPase activating protein 1	NP_037409.2	GTPase activating protein	
RACGAP1	29127	RAC GTPase activating protein 1	NP_001119575.1	GTPase activating protein	
RACGAP1	29127	RAC GTPase activating protein 1	NP_001119576.1	GTPase activating protein	
HPS1	3257	Hermansky Pudlak syndrome 1 protein	NP_000186.2	Integral membrane protein	
HPS1	3257	Hermansky Pudlak syndrome 1 protein	NP_872575.1	Integral membrane protein	
HPS1	3257	Hermansky Pudlak syndrome 1 protein	NP_872576.1	Integral membrane protein	
HPS1	3257	Hermansky Pudlak syndrome 1 protein	NP_872577.1	Integral membrane protein	
SPTBN2	6712	"Spectrin beta, nonerythrocytic 2"	NP_008877.1	Cytoskeletal associated protein	
BRAP	8315	BRAP2	AAC24200.1	Adapter molecule	
BRAP	8315	BRAP2	NP_006759.3	Adapter molecule	
SLC9A3R1	9368	"Solute carrier family 9, isoform A3, regulatory factor 1"	NP_004243.1	Membrane bound ligand	
PRPF18	8559	Pre mRNA splicing factor 18	NP_003666.1	Unclassified	
SIX2	10736	Homeobox protein SIX2	NP_058628.3	Transcription factor	
SLC22A7	10864	Organic anion transporter 2	NP_006663.2	Membrane transport protein	
SLC22A7	10864	Organic anion transporter 2	NP_696961.2	Membrane transport protein	
FXYD3	5349	MAT8	NP_068710.1	Ion channel	
FXYD3	5349	MAT8	NP_005962.1	Ion channel	
FXYD3	5349	MAT8	NP_001129479.1	Ion channel	
FXYD3	5349	MAT8	NP_001129480.1	Ion channel	
FXYD3	5349	MAT8	NP_001129481.1	Ion channel	
FXYD3	5349	MAT8	NP_001129482.1	Ion channel	
FXYD3	5349	MAT8	NP_001129483.1	Ion channel	
FXYD3	5349	MAT8	NP_001129484.1	Ion channel	
DOK2	9046	"Docking protein 2, 56kDa"	NP_003965.2	Adapter molecule	
DOK2	9046	"Docking protein 2, 56kDa"	NP_958728.1	Adapter molecule	
CAMK1	8536	CAM kinase 1	NP_003647.1	Serine/threonine kinase	
SHANK1	50944	SH3 and multiple ankyrin repeat domains 1	NP_057232.2	Structural protein	
CORO1A	11151	Coronin 1A	NP_009005.1	Cytoskeletal associated protein	
ANGPTL2	23452	Angiopoietin like 2	NP_036230.1	Secreted polypeptide	
CORO2B	10391	Coronin 2B	NP_006082.3	Cytoskeletal associated protein	
SENP6	26054	SUMO 1 specific protease 1	NP_056386.2	Ubiquitin proteasome system protein	
SENP6	26054	SUMO 1 specific protease 1	NP_001093879.1	Ubiquitin proteasome system protein	
GSK3B	2932	Glycogen synthase kinase 3 beta	NP_002084.2	Serine/threonine kinase	
FRAT2	23401	GSK3 binding protein FRAT2	NP_036215.1	Ubiquitin proteasome system protein	
ADAMTS5	11096	ADAMTS 5	NP_008969.2	Metallo protease	
ADAMTS6	11174	ADAMTS 6	NP_055088.2	Metallo protease	
ADAMTS6	11174	ADAMTS 6	NP_922932.2	Metallo protease	
ADAMTS7	11173	ADAMTS7	NP_055087.2	Metallo protease	
SPINK5	11005	Serine protease inhibitor kazal type 5	NP_006837.2	Protease inhibitor	
SPINK5	11005	Serine protease inhibitor kazal type 5	NP_001121170.1	Protease inhibitor	
SPINK5	11005	Serine protease inhibitor kazal type 5	NP_001121171.1	Protease inhibitor	
ZNF214	7761	Zinc finger protein 214	NP_037381.2	DNA binding protein	
ZNF215	7762	Zinc finger protein 215	NP_037382.2	DNA binding protein	
VPREB3	29802	PreB lymphocyte protein 3	NP_037510.1	Immunoglobulin	
CYLD	1540	Cylindromatosis gene protein	NP_056062.1	Ubiquitin proteasome system protein	
CYLD	1540	Cylindromatosis gene protein	NP_001035814.1	Ubiquitin proteasome system protein	
CYLD	1540	Cylindromatosis gene protein	NP_001035877.1	Ubiquitin proteasome system protein	
PAK2	5062	PAK2	NP_002568.2	Serine/threonine kinase	
HAO1	54363	Hydroxyacid oxidase 1	NP_060015.1	Enzyme: Oxidase	
SLC4A8	9498	"Solute carrier family 4, member 8"	NP_004849.2	Membrane transport protein	
SLC4A8	9498	"Solute carrier family 4, member 8"	NP_001035049.1	Membrane transport protein	
ITGA3	3675	Integrin alpha 3	NP_005492.1	Cell surface receptor	
ITGA3	3675	Integrin alpha 3	NP_002195.1	Cell surface receptor	
KLRF1	51348	Lectin like receptor F1	NP_057607.1	Cell surface receptor	
STK3	6788	Serine/threonine protein kinase 3	NP_006272.2	Serine/threonine kinase	
WASF1	8936	WAVE1	NP_003922.1	Adapter molecule	
WASF1	8936	WAVE1	NP_001020105.1	Adapter molecule	
WASF1	8936	WAVE1	NP_001020106.1	Adapter molecule	
WASF1	8936	WAVE1	NP_001020107.1	Adapter molecule	
ZNF219	51222	Zinc finger protein 219	NP_057507.2	Transcription regulatory protein	
ZNF219	51222	Zinc finger protein 219	NP_001095142.1	Transcription regulatory protein	
ZNF219	51222	Zinc finger protein 219	NP_001095924.1	Transcription regulatory protein	
MED23	9439	Transcriptional coactivator CRSP130	NP_004821.2	Transcription regulatory protein	
MED23	9439	Transcriptional coactivator CRSP130	NP_057063.2	Transcription regulatory protein	
MED26	9441	Transcriptional coactivator CRSP70	NP_004822.2	Transcription regulatory protein	
MED27	9442	Transcriptional coactivator CRSP34	NP_004260.2	Transcription regulatory protein	
MED7	9443	CRSP9	NP_004261.1	Transcription factor	
MED7	9443	CRSP9	NP_001094286.1	Transcription factor	
UBQLN1	29979	Ubiquilin 1	NP_038466.2	Ubiquitin proteasome system protein	
UBQLN1	29979	Ubiquilin 1	NP_444295.1	Ubiquitin proteasome system protein	
IRF7	3665	Interferon regulatory factor 7	NP_004022.2	Transcription factor	
IRF7	3665	Interferon regulatory factor 7	NP_001563.2	Transcription factor	
IRF7	3665	Interferon regulatory factor 7	NP_004020.1	Transcription factor	
IRF7	3665	Interferon regulatory factor 7	NP_004021.1	Transcription factor	
IKBKE	9641	IKKE	NP_054721.1	Serine/threonine kinase	
TWSG1	57045	Twisted gastrulation like protein	NP_065699.1	Secreted polypeptide	
CNR2	1269	Cannabinoid receptor 2	NP_001832.1	G protein coupled receptor	
TARBP1	6894	TRP185	NP_005637.3	RNA binding protein	
TARBP2	6895	TAR (HIV) RNA binding protein 2	NP_599150.1	RNA binding protein	
TARBP2	6895	TAR (HIV) RNA binding protein 2	NP_004169.3	RNA binding protein	
TARBP2	6895	TAR (HIV) RNA binding protein 2	NP_599151.2	RNA binding protein	
SERF2	10169	Small EDRK rich factor 2	NP_005761.2	RNA binding protein	
SERF2	10169	Small EDRK rich factor 2	NP_001018118.1	RNA binding protein	
WASL	8976	Wiskott-Aldrich syndrome-like	NP_003932.3	Cytoskeletal associated protein	
TIMM17A	10440	TIM17	NP_006326.1	Enzyme: Translocase	
TIMM44	10469	TIM44	NP_006342.2	Enzyme: Translocase	
SHPK	23729	Carbohydrate kinase like	NP_037408.2	Unclassified	
TERF2IP	54386	TERF2IP	NP_061848.2	DNA binding protein;Cell cycle control protein	
TAS2R5	54429	Taste receptor type 2 member 5	NP_061853.1	G protein coupled receptor	
STIP1	10963	Stress induced phosphoprotein 1	NP_006810.1	Adapter molecule	
KIF23	9493	Kinesin family member 23	NP_612565.1	Motor protein	
KIF23	9493	Kinesin family member 23	NP_004847.2	Motor protein	
CDC37	11140	CDC37	NP_008996.1	Chaperone	
YWHAE	7531	14-3-3 epsilon	NP_006752.1	Adapter molecule	
WASF3	10810	Wiskott-Aldrich syndrome protein family member 3	NP_006637.2	Cytoskeletal associated protein	
MKNK2	2872	Mnk2	NP_951009.1	Serine/threonine kinase	
MKNK2	2872	Mnk2	NP_060042.2	Serine/threonine kinase	
EEA1	8411	Early endosome antigen 1	NP_003557.2	Membrane transport protein	
RGS19	10287	Regulator of G protein signaling 19	NP_005864.1	GTPase activating protein	
RGS19	10287	Regulator of G protein signaling 19	NP_001034556.1	GTPase activating protein	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_005707.1	Unclassified	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_974196.1	Unclassified	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_974197.1	Unclassified	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_974198.1	Unclassified	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_974199.1	Unclassified	
GIPC1	10755	"GIPC PDZ domain containing family, member 1"	NP_974223.1	Unclassified	
TRIM37	4591	Tripartite motif containing protein 37	NP_056109.1	Ubiquitin proteasome system protein	
TRIM37	4591	Tripartite motif containing protein 37	NP_001005207.1	Ubiquitin proteasome system protein	
SNAPC2	6618	SNAP45	NP_003074.1	Transcription regulatory protein	
DMAP1	55929	DMAP1	NP_061973.1	Transcription regulatory protein	
DMAP1	55929	DMAP1	NP_001029195.1	Transcription regulatory protein	
DMAP1	55929	DMAP1	NP_001029196.1	Transcription regulatory protein	
TARDBP	23435	TAR DNA binding protein 43	NP_031401.1	DNA binding protein	
SALL3	27164	Sal like 3	NP_741996.2	DNA binding protein	
CNGB3	54714	Cyclic nucleotide gated channel beta 3	NP_061971.3	Membrane transport protein	
CYTH3	9265	Cytohesin 3	NP_004218.1	Guanine nucleotide exchange factor	
RASSF1	11186	Ras association domain family protein 1	NP_733832.1	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_009113.3	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_733830.1	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_733831.1	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_733833.1	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_733834.1	Cytoskeletal associated protein	
RASSF1	11186	Ras association domain family protein 1	NP_733835.1	Cytoskeletal associated protein	
CBARA1	10367	araCALC	NP_006068.2	Unclassified	
TREM1	54210	TREM1	NP_061113.1	Cell surface receptor	
TREM2	54209	TREM2	NP_061838.1	Cell surface receptor	
PIGK	10026	GPI anchor transamidase	NP_005473.1	Cysteine protease	
MVP	9961	Major vault protein	NP_059447.2	Transport/cargo protein	
MVP	9961	Major vault protein	NP_005106.2	Transport/cargo protein	
MRPL40	64976	MRPL22	NP_003767.2	Ribosomal subunit	
RARRES1	5918	TIG1	NP_002879.2	Integral membrane protein	
RARRES1	5918	TIG1	NP_996846.1	Integral membrane protein	
FGD2	221472	"FGD1 family, member 2"	NP_775829.2	Guanine nucleotide exchange factor	
RARRES3	5920	Retinoic acid receptor responder 3	NP_004576.2	Cell cycle control protein	
SH2B3	10019	LNK	NP_005466.1	Adapter molecule	
STEAP2	261729	STAMP1	NP_694544.2	Integral membrane protein	
STEAP2	261729	STAMP1	NP_001035755.1	Integral membrane protein	
STEAP2	261729	STAMP1	NP_001035756.1	Integral membrane protein	
PPM1D	8493	Protein phosphatase 2C delta isoform	NP_003611.1	Serine/threonine phosphatase	
MAP3K7IP2	23118	TAB2	NP_055908.1	Adapter molecule	
MAP3K7IP2	23118	TAB2	NP_663317.1	Adapter molecule	
MASP2	10747	Mannan binding lectin serine protease 2	NP_006601.2	Serine protease	
MASP2	10747	Mannan binding lectin serine protease 2	NP_631947.1	Serine protease	
NMU	10874	Neuromedin U	NP_006672.1	Ligand	
LPAR3	23566	Endothelial differentiation gene 7	NP_036284.1	G protein coupled receptor	
LPAR2	9170	Endothelial differentiation gene 4	AAC27728.1	G protein coupled receptor	
LPAR2	9170	Endothelial differentiation gene 4	NP_004711.2	G protein coupled receptor	
S1PR2	9294	Endothelial differentiation gene 5	NP_004221.3	G protein coupled receptor	
AASS	10157	Lysine-2-oxoglutarate reductase	NP_005754.2	Enzyme: Oxidoreductase;Enzyme: Synthase	
SOCS2	8835	SOCS2	NP_003868.1	Adapter molecule	
SOCS6	9306	SOCS6	NP_004223.2	Adapter molecule	
GDF2	2658	Bone morphogenetic protein 9	NP_057288.1	Growth factor	
SUPV3L1	6832	SUPV3L1	NP_003162.2	RNA binding protein	
SPINT1	6692	"Serine peptidase inhibitor, Kunitz type 1"	NP_857593.1	Protease inhibitor	
SPINT1	6692	"Serine peptidase inhibitor, Kunitz type 1"	NP_003701.1	Protease inhibitor	
SPINT1	6692	"Serine peptidase inhibitor, Kunitz type 1"	NP_001027539.1	Protease inhibitor	
SPINT2	10653	"Serine protease inhibitor, Kunitz type, 2"	NP_066925.1	Protease inhibitor	
GABARAP	11337	GABA A receptor associated protein	NP_009209.1	Unclassified	
FHL5	9457	ACT	NP_065228.3	Transcription regulatory protein	
OPTC	26254	Opticin	NP_055174.1	Extracellular matrix protein	
GUCA1C	9626	Guanylate cyclase activator 1C	NP_005450.3	Calcium binding protein	
PSME3	10197	Proteasome activator complex subunit 3	NP_005780.2	Ubiquitin proteasome system protein	
PSME3	10197	Proteasome activator complex subunit 3	NP_789839.1	Ubiquitin proteasome system protein	
WWOX	51741	WW domain containing oxidoreductase	NP_057457.1	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_061030.2	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_570859.1	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_570606.1	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_570604.1	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_570608.1	Enzyme: Oxidoreductase	
WWOX	51741	WW domain containing oxidoreductase	NP_570607.1	Enzyme: Oxidoreductase	
TLE4	7091	ESG4	AAH59405.1	Transcription factor	
TLE4	7091	ESG4	NP_008936.2	Transcription factor	
NCBP2	22916	Nuclear cap binding protein 2	NP_031388.2	RNA binding protein	
NCBP2	22916	Nuclear cap binding protein 2	NP_001036005.1	RNA binding protein	
PITPNC1	26207	"Phosphatidylinositol transfer protein, cytoplasmic 1"	NP_036549.2	Transport/cargo protein	
PITPNC1	26207	"Phosphatidylinositol transfer protein, cytoplasmic 1"	NP_858057.1	Transport/cargo protein	
VPREB1	7441	PreB lymphocyte gene 1	NP_009059.1	Immunoglobulin	
CCT4	10575	Chaperonin containing T complex polypeptide 1 subunit 4	NP_006421.2	Chaperone	
ACTR1A	10121	Actin related protein 1A	NP_005727.1	Cytoskeletal protein	
ACTR1B	10120	Actin related protein 1B	NP_005726.1	Cytoskeletal protein	
ANKH	56172	Progressive ankylosis protein homolog	NP_062821.1	Membrane transport protein	
ANKH	56172	Progressive ankylosis protein homolog	NP_473368.1	Membrane transport protein	
S1PR5	53637	Endothelial differentiation gene 8	NP_110387.1	G protein coupled receptor	
LECT1	11061	Leukocyte cell derived chemotaxin 1	NP_008946.1	Unclassified	
LECT1	11061	Leukocyte cell derived chemotaxin 1	NP_001011705.1	Unclassified	
GALNT6	11226	GalNAc transferase 6	NP_009141.2	Enzyme: Glycosyltransferase	
CXCL13	10563	"Chemokine, CXC motif, ligand 13"	NP_006410.1	Chemokine	
CCDC19	25790	NESG1	NP_036469.2	Unclassified	
RAMP1	10267	Receptor activity modifying protein 1	NP_005846.1	Transport/cargo protein	
RAMP2	10266	Receptor activity modifying protein 2	NP_005845.2	Transport/cargo protein	
RAMP3	10268	Receptor activity modifying protein 3	NP_005847.1	Transport/cargo protein	
WFDC5	149708	p53 responsive gene 5	Q8TCV5	Protease inhibitor	
WFDC5	149708	p53 responsive gene 5	NP_663627.1	Protease inhibitor	
GADD45GIP1	90480	PRG6	NP_443082.2	Cell cycle control protein	
CXCR6	10663	C-X-C chemokine receptor type 6	NP_006555.1	G protein coupled receptor	
HDAC2	3066	Histone deacetylase 2	NP_001518.2	Transcription regulatory protein	
PATZ1	23598	Zinc finger protein 278	NP_055138.2	Transcription regulatory protein	
PATZ1	23598	Zinc finger protein 278	NP_114439.1	Transcription regulatory protein	
PATZ1	23598	Zinc finger protein 278	NP_114440.1	Transcription regulatory protein	
PATZ1	23598	Zinc finger protein 278	NP_114441.1	Transcription regulatory protein	
BAGE	574	B melanoma antigen	NP_001178.1	Unclassified	
FABP5	2171	Fatty acid binding protein 5	NP_001435.1	Transport/cargo protein	
ELF5	2001	E74 like factor 5	NP_938195.1	Transcription factor	
ELF5	2001	E74 like factor 5	NP_001413.1	Transcription factor	
EI24	9538	p53 induced gene 8	NP_004870.3	Integral membrane protein	
EI24	9538	p53 induced gene 8	NP_001007278.1	Integral membrane protein	
TP53I3	9540	p53 induced gene 3	NP_004872.2	Cell cycle control protein	
TP53I3	9540	p53 induced gene 3	NP_671713.1	Cell cycle control protein	
PTGES	9536	Prostaglandin E synthase	NP_004869.1	Enzyme: Synthase	
PTGES	9536	Prostaglandin E synthase	NP_942092.1	Enzyme: Synthase	
ENC1	8507	Ectodermal neural cortex 1	NP_003624.1	Structural protein	
ADAMTS1	9510	ADAMTS1	NP_008919.3	Metallo protease	
ADAMTS8	11095	ADAMTS8	NP_008968.4	Metallo protease	
HAO2	51179	Hydroxyacid oxidase 2	NP_057611.1	Enzyme: Oxidase	
HAO2	51179	Hydroxyacid oxidase 2	NP_001005783.1	Enzyme: Oxidase	
GAS8	2622	Growth arrest specific protein 8	NP_001472.1	Motor protein	
C16orf3	750	C16orf3 protein	NP_001205.3	Unclassified	
SLC38A2	54407	"Solute carrier family 38, member 2"	NP_061849.2	Transport/cargo protein	
TM7SF3	51768	"Transmembrane 7 superfamily, member 3"	NP_057635.1	Integral membrane protein	
RASA3	22821	Ras p21 protein activator 3	NP_031394.2	GTPase activating protein	
CALML5	51806	Calmodulin like skin protein	NP_059118.2	Calcium binding protein	
PAIP1	10605	Poly adenylate binding protein interacting protein 1	NP_006442.2	Translation regulatory protein	
PAIP1	10605	Poly adenylate binding protein interacting protein 1	NP_877590.1	Translation regulatory protein	
PAIP1	10605	Poly adenylate binding protein interacting protein 1	NP_899152.1	Translation regulatory protein	
DLL4	54567	Delta like 4	NP_061947.1	Ligand	
WIF1	11197	WNT inhibitory factor 1	NP_009122.2	Ligand	
GPR27	2850	G protein coupled receptor 27	NP_061844.1	G protein coupled receptor	
GPR85	54329	G protein coupled receptor 85	NP_061843.3	G protein coupled receptor	
DKK1	22943	Dickkopf 1	NP_036374.1	Ligand	
TRAM1	23471	Translocation associated membrane protein 1	NP_055109.1	Membrane transport protein	
BTAF1	9044	TBP associated factor 172	NP_003963.1	Transcription regulatory protein	
DIRAS3	9077	"Ras homolog gene family, member I"	NP_004666.1	GTPase	
CFC1	55997	Cryptic protein	NP_115934.1	Unclassified	
ADCY10	55811	Adenylyl cyclase soluble	NP_060887.2	Adenylate cyclase	
CYP26B1	56603	"Cytochrome P450, subfamily 26A, polypeptide 2"	NP_063938.1	Enzyme: Hydroxylase	
SLC17A7	57030	VGLUT1	NP_064705.1	Transport/cargo protein	
CHFR	55743	Checkpoint protein with FHA and ring finger domains	NP_001154816.1	Enzyme: Ligase	
CHFR	55743	Checkpoint protein with FHA and ring finger domains	NP_060693.2	Enzyme: Ligase	
DISC1	27185	Disrupted in schizophrenia 1	NP_061132.2	Unclassified	
DISC1	27185	Disrupted in schizophrenia 1	NP_001012975.1	Unclassified	
DISC1	27185	Disrupted in schizophrenia 1	NP_001012976.1	Unclassified	
DISC1	27185	Disrupted in schizophrenia 1	NP_001012977.1	Unclassified	
BARHL1	56751	BARH like 1	NP_064448.1	Transcription factor	
BARHL2	343472	BARH like 2	NP_064447.1	Transcription regulatory protein	
PDPK1	5170	3 Phosphoinositide dependent protein kinase 1	NP_002604.1	Serine/threonine kinase	
PDPK1	5170	3 Phosphoinositide dependent protein kinase 1	NP_112558.2	Serine/threonine kinase	
KCNMB2	10242	"Potassium channel, calcium activated, large conductance, subfamily M, beta member 2"	NP_852006.1	Transport/cargo protein	
KCNMB2	10242	"Potassium channel, calcium activated, large conductance, subfamily M, beta member 2"	NP_005823.1	Transport/cargo protein	
SKAP2	8935	SKAP55 related protein	NP_003921.2	Adapter molecule	
ARHGEF4	50649	Rho guanine nucleotide exchange factor 4	NP_056135.2	Guanine nucleotide exchange factor	
ARHGEF4	50649	Rho guanine nucleotide exchange factor 4	NP_127462.1	Guanine nucleotide exchange factor	
DIABLO	56616	Smac protein	NP_063940.1	Cell cycle control protein	
DIABLO	56616	Smac protein	NP_620307.1	Cell cycle control protein	
DIABLO	56616	Smac protein	NP_620308.1	Cell cycle control protein	
SFRS13A	10772	FUS interacting protein 1	NP_473357.1	RNA binding protein	
SFRS13A	10772	FUS interacting protein 1	NP_006616.1	RNA binding protein	
KCNMB3	27094	Potassium large conductance calcium activated channel beta 3 subunit	NP_055222.3	Transport/cargo protein	
KCNMB3	27094	Potassium large conductance calcium activated channel beta 3 subunit	NP_741979.1	Transport/cargo protein	
KCNMB3	27094	Potassium large conductance calcium activated channel beta 3 subunit	NP_741981.1	Transport/cargo protein	
KCNMB3	27094	Potassium large conductance calcium activated channel beta 3 subunit	NP_741980.1	Transport/cargo protein	
KCNMB4	27345	"Potassium channel, calcium activated, large conductance, subfamily M, beta 4"	NP_055320.4	Transport/cargo protein	
RRH	10692	Peropsin	NP_006574.1	G protein coupled receptor	
RERE	473	RE repeats encoding gene	NP_036234.3	Transcription regulatory protein	
RERE	473	RE repeats encoding gene	NP_001036146.1	Transcription regulatory protein	
RERE	473	RE repeats encoding gene	NP_001036147.1	Transcription regulatory protein	
RECK	8434	RECK	NP_066934.1	Cell cycle control protein	
CIR1	9541	CBF1 interacting corepressor	NP_004873.3	Transcription regulatory protein	
CIR1	9541	CBF1 interacting corepressor	NP_951057.1	Transcription regulatory protein	
TP53BP1	7158	Tumor protein p53 binding protein 1	NP_005648.1	Transcription regulatory protein	
TP53BP1	7158	Tumor protein p53 binding protein 1	NP_001135451.1	Transcription regulatory protein	
TP53BP1	7158	Tumor protein p53 binding protein 1	NP_001135452.1	Transcription regulatory protein	
WNK1	65125	"Protein kinase, lysine deficient 1"	NP_061852.2	Serine/threonine kinase	
VN1R1	57191	Vomeronasal 1 receptor 1	NP_065684.1	Integral membrane protein	
NOL3	8996	Nucleolar protein 3	NP_003937.1	Cell cycle control protein	
CORIN	10699	Corin	NP_006578.2	Serine protease	
XPR1	9213	Xenotropic and polytropic retrovirus receptor	NP_004727.2	Integral membrane protein	
XPR1	9213	Xenotropic and polytropic retrovirus receptor	NP_001129141.1	Integral membrane protein	
HNMT	3176	Histamine N methyltransferase	NP_008826.1	Enzyme: Methyltransferase	
HNMT	3176	Histamine N methyltransferase	NP_001019245.1	Enzyme: Methyltransferase	
HNMT	3176	Histamine N methyltransferase	NP_001019246.1	Enzyme: Methyltransferase	
ATP6V0A4	50617	ATP6V0A4	NP_065683.2	ATPase	
ATP6V0A4	50617	ATP6V0A4	NP_570855.2	ATPase	
ATP6V0A4	50617	ATP6V0A4	NP_570856.2	ATPase	
CCL28	56477	Chemokine CC motif ligand 28	NP_062820.1	Chemokine	
CCL28	56477	Chemokine CC motif ligand 28	NP_683513.1	Chemokine	
LY86	9450	MD1	NP_004262.1	Adapter molecule	
LY96	23643	MD2 protein	NP_056179.2	Ligand	
SLC2A8	29988	"Solute carrier family, member 8"	NP_055395.2	Membrane transport protein	
C3AR1	719	Complement component 3a receptor 1	NP_004045.1	G protein coupled receptor	
MCOLN1	57192	Mucolipin 1	NP_065394.1	Voltage gated channel;Unclassified	
ABCC4	10257	"ATP binding cassette, subfamily C, member 4"	NP_005836.2	Transport/cargo protein	
ABCC4	10257	"ATP binding cassette, subfamily C, member 4"	NP_001098985.1	Transport/cargo protein	
NCSTN	23385	Nicastrin	NP_056146.1	Integral membrane protein	
AICDA	57379	Activation induced cytidine deaminase	NP_065712.1	Enzyme: Deaminase	
NDRG1	10397	NMYC downstream regulated gene 1	NP_006087.2	Unclassified	
NDRG1	10397	NMYC downstream regulated gene 1	NP_001128714.1	Unclassified	
SORBS1	10580	CBL associated protein	NP_056200.1	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_006425.2	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_001030126.1	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_001030127.1	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_001030128.1	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_001030129.1	Cell junction protein	
SORBS1	10580	CBL associated protein	NP_079267.1	Cell junction protein	
AVEN	57099	Cell death regulator Aven	NP_065104.1	Adapter molecule	
JPH3	57338	Junctophilin 3	NP_065706.2	Cell junction protein	
SGSH	6448	N sulphoglucosamine sulphohydrolase	NP_000190.1	Enzyme: Hydrolase	
AATK	9625	Apoptosis associated tyrosine kinase	NP_004911.1	Tyrosine kinase	
AATK	9625	Apoptosis associated tyrosine kinase	NP_001073864.2	Tyrosine kinase	
GRLF1	2909	Glucocorticoid receptor DNA binding factor 1	NP_004482.4	Nuclear receptor	
GRLF1	2909	Glucocorticoid receptor DNA binding factor 1	NP_077318.1	Nuclear receptor	
DDX4	54514	VASA	NP_077726.1	RNA binding protein	
DDX4	54514	VASA	NP_061912.1	RNA binding protein	
DDX4	54514	VASA	NP_001129506.1	RNA binding protein	
DDX4	54514	VASA	NP_001136021.1	RNA binding protein	
TSC1	7248	Tuberous sclerosis 1	NP_000359.1	Cytoskeletal associated protein	
TSC1	7248	Tuberous sclerosis 1	NP_001008567.1	Cytoskeletal associated protein	
CAPN10	11132	Calpain 10	NP_075571.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075572.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075573.2	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075574.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075575.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075576.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_075577.1	Cysteine protease	
CAPN10	11132	Calpain 10	NP_067074.1	Cysteine protease	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570850.2	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570849.2	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570848.1	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570847.2	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570846.1	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_056375.2	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570845.1	GTPase	
OPA1	4976	"Dynamin like 120 kDa protein, mitochondrial"	NP_570844.1	GTPase	
CHST6	4166	Carbohydrate sulfotransferase 6	NP_067628.1	Enzyme: Sulphotransferase	
PSMG1	8624	Down syndrome critical region protein 2	NP_003711.1	Unclassified	
PSMG1	8624	Down syndrome critical region protein 2	NP_982257.1	Unclassified	
NCOA6	23054	Nuclear receptor coactivator 6	NP_054790.2	Transcription regulatory protein	
TACC2	10579	TACC2	NP_996744.2	Cell cycle control protein	
TACC2	10579	TACC2	NP_008928.1	Cell cycle control protein	
TACC2	10579	TACC2	NP_996742.1	Cell cycle control protein	
TACC2	10579	TACC2	NP_996743.1	Cell cycle control protein	
TACC3	10460	TACC3	NP_006333.1	Cell cycle control protein	
